id,attester,recipient,refUID,revocable,revocationTime,revoked,expirationTime,data,schema.id,decodedDataJson
0x00cf3aefb9ba7abc03e810a7d74d18fb13b596ac0708a3ec5ecb806e10a5ea8f,0x357458739F90461b99789350868CD7CF330Dd7EE,0xF3c973Dae98228B9bacbBbD541C74764993cE830,0x0000000000000000000000000000000000000000000000000000000000000000,1,0,,0,0x0000000000000000000000000000000000000000000000000000000000000001,0x254bd1b63e0591fefa66818ca054c78627306f253f86be6023725a67ee6bf9f4,"[{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""signature"":""bool verifiedCoinbaseOne"",""value"":{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""value"":true}}]"
0x010cc65f66aec12b963afe052ee075d80a121cc5f80c74a7fc38f11ccf3eae39,0x357458739F90461b99789350868CD7CF330Dd7EE,0x5E754eD0b57CEc875b19228747B4f6A95999929C,0x0000000000000000000000000000000000000000000000000000000000000000,1,0,,0,0x0000000000000000000000000000000000000000000000000000000000000001,0x254bd1b63e0591fefa66818ca054c78627306f253f86be6023725a67ee6bf9f4,"[{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""signature"":""bool verifiedCoinbaseOne"",""value"":{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""value"":true}}]"
0x0133ef6d99fd6fc71052b2d442066ae42dcf434cc8270e4faeac0710b19477cd,0x357458739F90461b99789350868CD7CF330Dd7EE,0x582225203F845B9645CCb35D341AD8D936c113F6,0x0000000000000000000000000000000000000000000000000000000000000000,1,0,,0,0x0000000000000000000000000000000000000000000000000000000000000001,0x254bd1b63e0591fefa66818ca054c78627306f253f86be6023725a67ee6bf9f4,"[{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""signature"":""bool verifiedCoinbaseOne"",""value"":{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""value"":true}}]"
0x014d4abf2656151ea23fea2e4c635f7b5555c9ce21f32b66ef5382999af22508,0x357458739F90461b99789350868CD7CF330Dd7EE,0x7301413Db8C50c669f10D5bdaaC8B75D273E5FFC,0x0000000000000000000000000000000000000000000000000000000000000000,1,0,,0,0x0000000000000000000000000000000000000000000000000000000000000001,0x254bd1b63e0591fefa66818ca054c78627306f253f86be6023725a67ee6bf9f4,"[{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""signature"":""bool verifiedCoinbaseOne"",""value"":{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""value"":true}}]"
0x015ee94d9f838018f977ba470d3cad59fa21f0d1d75d115bed313cc1d1f2fad3,0x357458739F90461b99789350868CD7CF330Dd7EE,0x4268DaA43F94dc1bcb9BDed1cCC31CEcA626803c,0x0000000000000000000000000000000000000000000000000000000000000000,1,1719519731,1,0,0x0000000000000000000000000000000000000000000000000000000000000001,0x254bd1b63e0591fefa66818ca054c78627306f253f86be6023725a67ee6bf9f4,"[{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""signature"":""bool verifiedCoinbaseOne"",""value"":{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""value"":true}}]"
0x017d5fd5594724b8e9de4955ee52706a969ce64cb9bc6d7e449efba3f3225e49,0x357458739F90461b99789350868CD7CF330Dd7EE,0x6405f68CBdfE608B440d672Ed53526E6d279CA80,0x0000000000000000000000000000000000000000000000000000000000000000,1,0,,0,0x0000000000000000000000000000000000000000000000000000000000000001,0x254bd1b63e0591fefa66818ca054c78627306f253f86be6023725a67ee6bf9f4,"[{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""signature"":""bool verifiedCoinbaseOne"",""value"":{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""value"":true}}]"
0x017ded87f530d993e4d1affa16a14a85b48edfca9319d2c5f2aa26dc9a62d0b7,0x357458739F90461b99789350868CD7CF330Dd7EE,0x8D846B7cc8dF62d1840F7f863279dd39dEceA8a0,0x0000000000000000000000000000000000000000000000000000000000000000,1,0,,0,0x0000000000000000000000000000000000000000000000000000000000000001,0x254bd1b63e0591fefa66818ca054c78627306f253f86be6023725a67ee6bf9f4,"[{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""signature"":""bool verifiedCoinbaseOne"",""value"":{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""value"":true}}]"
0x017fd18f4052c3e6a480b9db5b3f6acc45481a1675774284bd69fb4fa8ee4280,0x357458739F90461b99789350868CD7CF330Dd7EE,0x431aA1A7904635F07fBde3cF1EAde479d9212A5A,0x0000000000000000000000000000000000000000000000000000000000000000,1,0,,0,0x0000000000000000000000000000000000000000000000000000000000000001,0x254bd1b63e0591fefa66818ca054c78627306f253f86be6023725a67ee6bf9f4,"[{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""signature"":""bool verifiedCoinbaseOne"",""value"":{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""value"":true}}]"
0x01a5ac891ece7c89908b63ec4d13e0a2f9c8db5aeed54e45b129b5629664f227,0x357458739F90461b99789350868CD7CF330Dd7EE,0x2543Db7FDe5f55beb352473206990727DCC68a5B,0x0000000000000000000000000000000000000000000000000000000000000000,1,0,,0,0x0000000000000000000000000000000000000000000000000000000000000001,0x254bd1b63e0591fefa66818ca054c78627306f253f86be6023725a67ee6bf9f4,"[{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""signature"":""bool verifiedCoinbaseOne"",""value"":{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""value"":true}}]"
0x01c272cd48b814a7e2fee726a6f4c8e665af3fd0833a7450b25b2d7e23ee4814,0x357458739F90461b99789350868CD7CF330Dd7EE,0xC9eD443a343C432649C6678AF8dedF1f248F9229,0x0000000000000000000000000000000000000000000000000000000000000000,1,0,,0,0x0000000000000000000000000000000000000000000000000000000000000001,0x254bd1b63e0591fefa66818ca054c78627306f253f86be6023725a67ee6bf9f4,"[{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""signature"":""bool verifiedCoinbaseOne"",""value"":{""name"":""verifiedCoinbaseOne"",""type"":""bool"",""value"":true}}]"
